Id,Link
78,"https://www.onet.pl/sport/naszosie/giro-ditalia-sagan-ucisza-krytykow/2b33fw6,30bc1058"
79,"https://www.onet.pl/sport/onetsport/koronawirus-cristiano-ronaldo-chory-na-covid-19-opusci-mez-portugalii/egysjbm,d87b6cc4"
80,"https://www.onet.pl/sport/kolarsko/giro-ditalia-sagan-w-koncu-dopial-swego/7j5d8r1,30bc1058"
81,"https://www.onet.pl/sport/onetsport/u-21-polska-bulgaria-co-musi-sie-stac-aby-polacy-awansowali/n6qs0vx,d87b6cc4"
82,"https://www.onet.pl/sport/onetsport/marek-kozminski-wchodzi-do-gry-w-wyborach-prezesa-pzpn/8rl7qxk,d87b6cc4"
83,"https://www.onet.pl/sport/przeglad-sportowy/zuzel-gkm-grudziadz-zostawi-w-skladzie-romana-lachbauma/w3edclk,5e4c2379"
84,"https://www.onet.pl/biznes/biznesalert/komisja-chwali-porozumienie-rzadu-z-gornikami-i-porozmawia-o-wydzieleniu-aktywow/et4dqjz,30bc1058"
85,"https://www.onet.pl/informacje/onetwarszawa/koronawirus-warszawa-bedzie-czerwona-strefa-wszystko-na-to-wskazuje/5r89etc,79cfc278"
86,"https://www.onet.pl/informacje/onetwarszawa/koronawirus-warszawa-sypia-sie-mandaty-za-brak-maseczek-ile-osob-ukarano/kpr7hw3,79cfc278"
87,"https://www.onet.pl/informacje/onetwarszawa/protest-rolnikow-warszawa-taksowkarze-zablokowali-aleje-jerozolimskie/w6rnqll,79cfc278"
88,"https://www.onet.pl/kultura/onetkultura/alicja-knast-dyrektorka-generalna-galerii-narodowej-w-pradze/8fnqcph,681c1dfa"
89,"https://www.onet.pl/kultura/onetkultura/romuald-szeremietiew-zwolniony-za-slowa-o-lgbt-dehnel-milo-pomarzyc/wgf52jn,681c1dfa"
90,"https://www.onet.pl/kultura/onetkultura/krolowe-zycia-bohaterka-programu-joanna-p-oskarzona-sa-nowe-fakty/8978qel,681c1dfa"
91,"https://www.onet.pl/film/onetfilm/kasta-czyli-paraprodukcja-paraserialu-o-paraadwokatach-z-paraemocjami-i-parasensem/dgnyz2l,681c1dfa"
92,"https://www.onet.pl/film/onetfilm/the-crown-oficjalny-zwiastun-4-sezonu-kiedy-premiera-informacje/29v8ghe,681c1dfa"
93,"https://www.onet.pl/film/onetfilm/andrzej-saramonowicz-mocno-na-temat-maseczek-wychowalismy-skur/kq1tllr,681c1dfa"
94,"https://www.onet.pl/styl-zycia/onetdom/10-wzorow-rolet-rzymskich-idealnych-do-kuchni/cebj2mn,2b83378a"
95,"https://www.onet.pl/styl-zycia/onetmoda/botki-na-plaskiej-podeszwie-jesienia-postaw-na-wygode/b7lbzr5,2b83378a"
96,"https://www.onet.pl/styl-zycia/onetmoda/czarne-ubrania-na-jesien-2020/hljy8yb,2b83378a"
97,"https://www.onet.pl/styl-zycia/onetmoda/jak-nosic-spodnie-z-wysokim-stanem/05jm264,2b83378a"
98,"https://www.onet.pl/turystyka/onetpodroze/eid-mar-jedna-z-najcenniejszy-monet-na-swiecie/2p9gnd5,07640b54"
99,"https://www.onet.pl/turystyka/onetpodroze/wlochy-inwazja-pawi-kolo-rawenny/dvle7x1,07640b54"
100,"https://www.onet.pl/biznes/biznesalert/przybyszewski-wizja-osi-chiny-iran-rosja-moze-sie-nie-spelnic/th804r3,30bc1058"
101,"https://www.onet.pl/sport/hokejnet/holandia-koronawirus-sparalizowal-hokej/77np9qj,30bc1058"
102,"https://www.onet.pl/informacje/radiolodz/lodz-nisko-w-rankingu-inwestycji/7081kcj,30bc1058"
103,"https://www.onet.pl/sport/onetsport/michal-listkiewicz-czeslaw-michniewicz-ma-za-soba-zly-piatek-legia-warszawa/2z7pjct,d87b6cc4"
104,"https://www.onet.pl/sport/mmarocks/najpierw-odmowa-a-potem-mistrzostwo/6e27m95,30bc1058"
105,"https://www.onet.pl/informacje/onetslask/tarnowskie-gory-lekarze-usuneli-pacjentce-guza-wazacego-17-kilogramow/n9w2evr,79cfc278"
106,"https://www.onet.pl/informacje/radiolodz/parlamentarzysci-z-woj-lodzkiego-rok-po-wyborach/dehd4f9,30bc1058"
107,"https://www.onet.pl/sport/przeglad-sportowy/zuzel-reprezentanci-polski-pojechali-na-darmo-trening-kadry-odwolany/s6kdljz,5e4c2379"
108,"https://www.onet.pl/sport/przeglad-sportowy/zuzel-nowe-warunki-finansowe-w-pge-ekstralidze/yr8p2p6,5e4c2379"
109,"https://www.onet.pl/styl-zycia/blimsien/jak-korzystac-z-mocy-kamieni-mineralow-i-krysztalow/pwx08cm,30bc1058"
110,"https://www.onet.pl/informacje/radiobielsko/splonela-stodola/6xtnn6v,30bc1058"
111,"https://www.onet.pl/styl-zycia/fajnyogrod/posadz-go-juz-teraz-by-wiosna-cieszyc-sie-oryginalnie-kwitnaca-roslina/wy09ep7,30bc1058"
112,"https://www.onet.pl/informacje/onetwiadomosci/koronawirus-w-polsce-problemy-w-szkolach-dyrektorzy-sami-zmieniaja-tryb-pracy/147t7n6,79cfc278"
113,"https://www.onet.pl/informacje/beskidynews/koronawirus-ognisko-w-kamesznicy/vnhsdem,30bc1058"
114,"https://www.onet.pl/informacje/gorzowianincom/zmarli-kolejni-pensjonariusze-dps-w-zielonej-gorze/pebx7x2,30bc1058"
